person_id,id,name,character,role
528136,tm191099,Kenneth O'Brien,Greer,ACTOR
19500,tm191099,Ken Sansom,Western Union Executive,ACTOR
26244,tm191099,Ta-Tanisha,Louise Coleman,ACTOR
26245,tm191099,William Benedict,Roulette Dealer,ACTOR
26246,tm191099,Robert Brubaker,Bill Clayton from Pittsburgh (uncredited),ACTOR
5666,tm191099,Kathleen Freeman,Kid Twist's Wife (uncredited),ACTOR
19486,tm191099,Susan French,Landlady (uncredited),ACTOR
26247,tm191099,Bruce Kimball,Lacey the Bouncer (uncredited),ACTOR
12088,tm191099,Alexander Lockwood,Landlord (uncredited),ACTOR
26248,tm191099,Chuck Morrell,FBI Agent Chuck (uncredited),ACTOR
26249,tm191099,Byron Morrow,Mr. Jameson from Chicago (uncredited),ACTOR
26250,tm191099,Pearl Shear,Lady in Phone Booth (uncredited),ACTOR
7781,tm191099,Arthur Tovey,Bank Officer (uncredited),ACTOR
26251,tm191099,Guy Way,Gambling Den Boss (uncredited),ACTOR
1367890,tm191099,Jim Michael,Bartender (uncredited),ACTOR
17011,tm191099,George Roy Hill,,DIRECTOR
3180,tm69975,Sylvester Stallone,"Robert ""Rocky"" Balboa",ACTOR
7748,tm69975,Talia Shire,"Adrianna ""Adrian"" Balboa",ACTOR
7749,tm69975,Burt Young,Paulie Pennino,ACTOR
7750,tm69975,Carl Weathers,Apollo Creed,ACTOR
7751,tm69975,Burgess Meredith,Mickey Goldmill,ACTOR
7762,tm69975,Tony Burton,"Tony ""Duke"" Evers",ACTOR
7753,tm69975,Joe Spinell,Tony Gazzo,ACTOR
17143,tm69975,Leonard Gaines,Agent,ACTOR
1372001,tm69975,Butkus Stallone,Butkus (Rocky’s Dog),ACTOR
132355,tm69975,Sylvia Meals,Mary Anne Creed,ACTOR
16991,tm69975,Frank McRae,Meat Foreman (uncredited),ACTOR
7756,tm69975,Al Silvani,Cutman (uncredited),ACTOR
7779,tm69975,John Pleshette,Director (uncredited),ACTOR
7778,tm69975,Stu Nahan,Announcer (uncredited),ACTOR
7755,tm69975,Bill Baldwin,Commentator (uncredited),ACTOR
79211,tm69975,Jerry Ziesmer,Salesman (uncredited),ACTOR
218853,tm69975,Paul Micale,Father Carmine (uncredited),ACTOR
1196972,tm69975,Earl Montgomery,Employment Manager (uncredited),ACTOR
80860,tm69975,Herb Nanas,Employment Manager (uncredited),ACTOR
51611,tm69975,Stuart K. Robinson,Johnny (uncredited),ACTOR
7773,tm69975,Frank Stallone,Singer (uncredited),ACTOR
82791,tm69975,"Charles ""Honi"" Coles",Singer (uncredited),ACTOR
1372548,tm69975,Doug Flor,Singer (uncredited),ACTOR
1372564,tm69975,Robert Kondyra,Singer (uncredited),ACTOR
1372549,tm69975,James Zazzarino,Singer (uncredited),ACTOR
513786,tm69975,Eddie 'El Annimal' Lopez,Fighter (uncredited),ACTOR
61400,tm69975,Taurean Blacque,Lawyer (uncredited),ACTOR
55108,tm69975,James J. Casino,Chink's Manager (uncredited),ACTOR
1372553,tm69975,Shaka Cumbuka,Cornerman (uncredited),ACTOR
304976,tm69975,Roberto Durán,Fighter (uncredited),ACTOR
973957,tm69975,Lou Fillipo,Referee (uncredited),ACTOR
1372554,tm69975,Ruth Ann Flynn,Jewelry Sales Lady (uncredited),ACTOR
75925,tm69975,Grainger Hines,Emergency Room Aide (uncredited),ACTOR
1372560,tm69975,Garrie Kelly,White Hunter (uncredited),ACTOR
80231,tm69975,Ava Lazar,White Hunter (uncredited),ACTOR
1372561,tm69975,Joseph Letizia,Car Salesman (uncredited),ACTOR
60171,tm69975,René Le Vant,Young Lugger (uncredited),ACTOR
1851121,tm69975,Tawny Little,Reporter (uncredited),ACTOR
2979,tm69975,Paul McCrane,Young Patient (uncredited),ACTOR
93989,tm69975,Sonny Melendrez,Reporter (uncredited),ACTOR
30019,tm69975,Tony Munafo,Boxer (uncredited),ACTOR
8682,tm69975,Brent Musburger,Reporter (uncredited),ACTOR
520117,tm69975,Ed Ness,Timekeeper (uncredited),ACTOR
521302,tm69975,Fred Pinkard,Lawyer (uncredited),ACTOR
7774,tm69975,Jane Marla Robbins,Gloria (uncredited),ACTOR
7770,tm69975,Hank Rolike,Cornerman (uncredited),ACTOR
650355,tm69975,David L. Ross,Reporter (uncredited),ACTOR
30449,tm69975,Fran Ryan,Adrian's Nurse (uncredited),ACTOR
1994267,tm69975,Whitney Rydbeck,Sound Man (uncredited),ACTOR
21245,tm69975,Shepherd Sanders,Employment Manager (uncredited),ACTOR
512964,tm69975,Jeff Temkin,Ring Announcer (uncredited),ACTOR
17919,tm69975,Allan Warnick,Makeup Man (uncredited),ACTOR
3184,tm69975,Charles Winkler,Camera Assistant (uncredited),ACTOR
1372517,tm69975,James Zaza,Emergency Room Reporter (uncredited),ACTOR
1135856,tm69975,Samuel Davis,Apollo's Bodyguard (uncredited),ACTOR
37579,tm69975,Rutanya Alda,Doctor Cooper (uncredited),ACTOR
1372001,tm69975,Butkus Stallone,Butkus,ACTOR
3180,tm69975,Sylvester Stallone,,DIRECTOR
11472,tm127384,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
1549,tm127384,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
11474,tm127384,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
11473,tm127384,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
11475,tm127384,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
11476,tm127384,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
40898,tm127384,Connie Booth,The Witch,ACTOR
11478,tm127384,Carol Cleveland,Zoot / Dingo,ACTOR
11482,tm127384,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
40899,tm127384,Bee Duffell,Old Crone,ACTOR
11481,tm127384,John Young,Dead Body / Historian Frank,ACTOR
40900,tm127384,Rita Davies,Historian's Wife,ACTOR
40901,tm127384,Avril Stewart,Dr. Piglet,ACTOR
40902,tm127384,Sally Kinghorn,Dr. Winston,ACTOR
40903,tm127384,Mark Zycon,Prisoner,ACTOR
1275018,tm127384,Elspeth Cameron,Girl in Castle Anthrax,ACTOR
1462970,tm127384,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR
589811,tm127384,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
976111,tm127384,Sandy Rose,Girl in Castle Anthrax,ACTOR
1462971,tm127384,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR
90024,tm127384,Joni Flynn,Girl in Castle Anthrax,ACTOR
1462991,tm127384,Alison Walker,Girl in Castle Anthrax,ACTOR
1462993,tm127384,Loraine Ward,Girl in Castle Anthrax,ACTOR
1462994,tm127384,Anna Lanski,Girl in Castle Anthrax,ACTOR
1462623,tm127384,Sally Coombe,Girl in Castle Anthrax,ACTOR
1462995,tm127384,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
1462975,tm127384,Yvonne Dick,Girl in Castle Anthrax,ACTOR
1462978,tm127384,Daphne Darling,Girl in Castle Anthrax,ACTOR
703435,tm127384,Fiona Gordon,Girl in Castle Anthrax,ACTOR
1463011,tm127384,Judy Lamb,Girl in Castle Anthrax,ACTOR
1462986,tm127384,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
1462588,tm127384,Joyce Pollner,Girl in Castle Anthrax,ACTOR
889417,tm127384,Mary Allen,Girl in Castle Anthrax,ACTOR
1464056,tm127384,Gloria Graham,Girl in Castle Anthrax,ACTOR
1671807,tm127384,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
2587015,tm127384,Iain Banks,Knight in Battle (uncredited),ACTOR
11490,tm127384,Julian Doyle,Police Sergeant (uncredited),ACTOR
84047,tm127384,Margarita Doyle,Peasant (uncredited),ACTOR
1463016,tm127384,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
1463018,tm127384,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
1463021,tm127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
11475,tm127384,Terry Jones,Themselves (uncredited),ACTOR
919694,tm127384,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
400172,tm127384,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
14908,tm127384,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
8327,tm127384,John Thornton,Dancing Knight (uncredited),ACTOR
156072,tm127384,Maggie Weston,Page-turner (uncredited),ACTOR
11473,tm127384,Terry Gilliam,,DIRECTOR
11475,tm127384,Terry Jones,,DIRECTOR
32454,tm17249,John Belushi,"John ""Bluto"" Blutarski",ACTOR
463,tm17249,Tim Matheson,"Eric ""Otter"" Stratton",ACTOR
29250,tm17249,John Vernon,Dean Vernon Wormer,ACTOR
32455,tm17249,Verna Bloom,Marion Wormer,ACTOR
10622,tm17249,Tom Hulce,"Larry ""Pinto"" Kroger",ACTOR
32458,tm17249,Cesare Danova,Mayor Carmine DePasto,ACTOR
9035,tm17249,Peter Riegert,"Donald ""Boon"" Schoenstein",ACTOR
32459,tm17249,Mary Louise Weller,Mandy Pepperidge,ACTOR
32460,tm17249,Stephen Furst,"Kent ""Flounder"" Dorfman",ACTOR
32463,tm17249,James Widdoes,Robert Hoover,ACTOR
6430,tm17249,Bruce McGill,Daniel Simpson Day,ACTOR
32464,tm17249,Mark Metcalf,Doug Neidermeyer,ACTOR
32465,tm17249,DeWayne Jessie,Otis Day,ACTOR
8061,tm17249,Karen Allen,Katy,ACTOR
32469,tm17249,James Daughton,Greg Marmalard,ACTOR
32470,tm17249,Martha Smith,"Barbara Sue ""Babs"" Jansen",ACTOR
32471,tm17249,Sarah Holcomb,Clorette DePasto,ACTOR
32472,tm17249,Lisa Baur,Shelly,ACTOR
5733,tm17249,Kevin Bacon,Chip Diller,ACTOR
1765,tm17249,Donald Sutherland,Dave Jennings,ACTOR
32473,tm17249,Douglas Kenney,Stork,ACTOR
32474,tm17249,Chris Miller,Hardbar,ACTOR
32475,tm17249,Bruce Bonnheim,B.B.,ACTOR
32476,tm17249,Joshua Daniel,Mothball,ACTOR
32477,tm17249,Sunny Johnson,Otter's Co-Ed,ACTOR
32478,tm17249,Stacy Grooman,Sissy,ACTOR
32479,tm17249,Eliza Roberts,Brunella,ACTOR
32480,tm17249,Aseneth Jurgenson,Beth,ACTOR
32481,tm17249,Katherine Denning,Noreen,ACTOR
32482,tm17249,Raymone Robinson,Mean Dude,ACTOR
32483,tm17249,Robert Elliott,Meaner Dude,ACTOR
32484,tm17249,Reginald Farmer,Meanest Dude,ACTOR
32485,tm17249,Jebidiah R. Dumas,Gigantic Dude,ACTOR
32486,tm17249,Priscilla Lauris,Dean's Secretary,ACTOR
32487,tm17249,Rick Eby,Omega,ACTOR
32488,tm17249,John Freeman,Man On Street,ACTOR
32489,tm17249,Sean McCartin,Lucky Boy,ACTOR
32490,tm17249,Helen Vick,Sorority Girl,ACTOR
32491,tm17249,Rick Greenough,Mongol,ACTOR
32495,tm17249,Stephen Bishop,Charming Guy with Guitar,ACTOR
10843,tm17249,John Landis,Cafeteria Dishwasher,ACTOR
10843,tm17249,John Landis,,DIRECTOR
11472,ts22164,Graham Chapman,Various,ACTOR
11476,ts22164,Michael Palin,"Various / ""It's"" man",ACTOR
11475,ts22164,Terry Jones,Various,ACTOR
11474,ts22164,Eric Idle,Various,ACTOR
11473,ts22164,Terry Gilliam,Various,ACTOR
11472,tm70993,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
1549,tm70993,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
11473,tm70993,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
11474,tm70993,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
11475,tm70993,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
11476,tm70993,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
11477,tm70993,Terence Bayler,Gregory,ACTOR
11478,tm70993,Carol Cleveland,Mrs. Gregory,ACTOR
11479,tm70993,Kenneth Colley,Jesus,ACTOR
11482,tm70993,Neil Innes,A Weedy Samaritan,ACTOR
11480,tm70993,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
11481,tm70993,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR
11483,tm70993,Gwen Taylor,Mrs. Big Nose,ACTOR
11484,tm70993,Sue Jones-Davies,Judith Iscariot,ACTOR
548006,tm70993,Peter Brett,,ACTOR
11485,tm70993,John Case,Pilate's Wife,ACTOR
11489,tm70993,Chris Langham,Alfonso / Giggling Guard,ACTOR
11487,tm70993,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR
11486,tm70993,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
73106,tm70993,Spike Milligan,Spike,ACTOR
11488,tm70993,George Harrison,Mr. Papadopolous (uncredited),ACTOR
11475,tm70993,Terry Jones,,DIRECTOR
25056,tm16479,Bing Crosby,Bob Wallace,ACTOR
60326,tm16479,Danny Kaye,Phil Davis,ACTOR
74992,tm16479,Rosemary Clooney,Betty Haynes,ACTOR
74993,tm16479,Vera-Ellen,Judy Haynes,ACTOR
41874,tm16479,Dean Jagger,General Waverly,ACTOR
27535,tm16479,Mary Wickes,Emma Allen,ACTOR
74994,tm16479,John Brascia,John,ACTOR
74995,tm16479,Anne Whitfield,Susan Waverly,ACTOR
74996,tm16479,Bea Allen,Dancer (uncredited),ACTOR
36157,tm16479,Frank Baker,Anniversary Party Guest (uncredited),ACTOR
74997,tm16479,Glen Cargyle,Jeep Driver (uncredited),ACTOR
25098,tm16479,George Chakiris,Dancer (uncredited),ACTOR
100934,tm16479,Barrie Chase,Doris Lenz (uncredited),ACTOR
1023889,tm16479,Lorinne Crawford,Rita (uncredited),ACTOR
22477,tm16479,Franklyn Farnum,Club Patron (uncredited),ACTOR
14166,tm16479,Bess Flowers,Club Patron (uncredited),ACTOR
36504,tm16479,Gavin Gordon,General Carlton (uncredited),ACTOR
422099,tm16479,Johnny Grant,Ed Harrison (uncredited),ACTOR
57838,tm16479,Percy Helton,Train Conductor (uncredited),ACTOR
88997,tm16479,I. Stanford Jolley,Station Master (uncredited),ACTOR
45687,tm16479,Sig Ruman,Landlord (uncredited),ACTOR
132394,tm16479,Grady Sutton,Mr. Herring (uncredited),ACTOR
71905,tm16479,Herb Vigran,Novello (uncredited),ACTOR
498631,tm16479,Robert Crosson,Albert (uncredited),ACTOR
14797,tm16479,Michael Curtiz,,DIRECTOR
8465,tm91699,Henry Winkler,Jack Dunne,ACTOR
7645,tm91699,Sally Field,Carol Bell,ACTOR
1225,tm91699,Harrison Ford,Ken Boyd,ACTOR
29227,tm91699,Val Avery,Mel,ACTOR
92748,tm91699,Olivia Cole,Jane Adcox,ACTOR
436658,tm91699,Hector Elias,Dr. Elias,ACTOR
55899,tm91699,Dennis Burkley,Gus,ACTOR
7762,tm91699,Tony Burton,Chef,ACTOR
15318,tm91699,Michael Cavanaugh,Peanuts,ACTOR
519768,tm91699,Helen Craig,Bus Depot Manager,ACTOR
43722,tm91699,John P. Finnegan,Mr. Munro,ACTOR
63707,tm91699,Betty McGuire,Mrs. Munro,ACTOR
26495,tm91699,John O'Leary,Ticket Clerk,ACTOR
64872,tm91699,Tom Rosqui,Patrolman #2,ACTOR
84162,tm91699,Fred Stuthman,Nathan,ACTOR
92649,tm91699,Caskey Swaim,Frank,ACTOR
2520341,tm91699,Earle Towne,Leo Sturges,ACTOR
2520175,tm91699,Kenneth Augustine,Charles,ACTOR
712705,tm91699,Rick Blanchard,Andy,ACTOR
2136188,tm91699,Louis Carello,Stokes,ACTOR
2520080,tm91699,Robert Kretschmann,Robert,ACTOR
1235770,tm91699,Alex Tinne,Mexican Bridegroom,ACTOR
634125,tm91699,Dick Ziker,Artie,ACTOR
515656,tm91699,Ben Fuhrman,Patrolman #1,ACTOR
494330,tm91699,Bill Ackridge,Starter,ACTOR
2520307,tm91699,Gary Bertz,Helicopter Pilot,ACTOR
510548,tm91699,Susan Bredhoff,Nurse,ACTOR
10502,tm91699,William H. Burton Jr.,Bar Patron #2,ACTOR
20777,tm91699,David R. Ellis,Bar Patron #1,ACTOR
58911,tm91699,James W. Gavin,Helicopter Pilot,ACTOR
1804970,tm91699,Pat Hustis,Car Driver,ACTOR
631340,tm91699,Bennie Moore,Adcox,ACTOR
35197,tm91699,John Cassavetes,VA Doctor (uncredited),ACTOR
1225220,tm91699,Bob Harks,Doctor (uncredited),ACTOR
22636,tm91699,Stuart Margolin,Motorist at Garage (uncredited),ACTOR
64291,tm91699,William Watson,Bartender (uncredited),ACTOR
2520120,tm91699,James Worth,Patient in Hospital (uncredited),ACTOR
88842,tm91699,Jeremy Kagan,,DIRECTOR
6050,tm12775,Clint Eastwood,Dave,ACTOR
63140,tm12775,Jessica Walter,Evelyn,ACTOR
63142,tm12775,Donna Mills,Tobie,ACTOR
63141,tm12775,John Larch,Sgt. McCallum,ACTOR
63143,tm12775,Jack Ging,Frank,ACTOR
63144,tm12775,Irene Hervey,Madge,ACTOR
63145,tm12775,James McEachin,Al Monte,ACTOR
57551,tm12775,Clarice Taylor,Birdie,ACTOR
56405,tm12775,Don Siegel,Murphy,ACTOR
63146,tm12775,Duke Everts,Jay Jay,ACTOR
63147,tm12775,George Fargo,Man,ACTOR
123921,tm12775,Mervin W. Frates,Locksmith,ACTOR
123922,tm12775,Tim Frawley,Deputy Sheriff,ACTOR
123923,tm12775,Otis Kadani,Policeman,ACTOR
123924,tm12775,Brit Lind,Anjelica,ACTOR
2046324,tm12775,Paul E. Lippman,2nd Man,ACTOR
28419,tm12775,Jack Kosslyn,Cab Driver,ACTOR
2046145,tm12775,Ginna Patterson,Madalyn,ACTOR
2046470,tm12775,Malcolm Moran,Man in Window,ACTOR
381721,tm12775,Cannonball Adderley,Self (uncredited),ACTOR
1259555,tm12775,Boyd Cabeen,Ambulance Attendant (uncredited),ACTOR
2720554,tm12775,Barbara Chrysler,Waitress (uncredited),ACTOR
2720588,tm12775,Don Hamilton,Bar Patron (uncredited),ACTOR
2108146,tm12775,Robert S. Holman,Policeman (uncredited),ACTOR
2720831,tm12775,Johnny Otis,Self (uncredited),ACTOR
90493,tm12775,Walter Scott,Policeman (uncredited),ACTOR
2720539,tm12775,Walter Spear,Policeman (uncredited),ACTOR
2720569,tm12775,William Tomlinson,Intern (uncredited),ACTOR
6050,tm12775,Clint Eastwood,,DIRECTOR
173189,tm135083,Farid Shawqi,Abu Siri,ACTOR
530033,tm135083,Hind Rostom,Hanuma,ACTOR
173191,tm135083,Youssef Chahine,Qinawi,ACTOR
1321002,tm135083,Hassan el Baroudi,Madbouli,ACTOR
557165,tm135083,Abdel Aziz Khalil,Abu Gaber,ACTOR
557166,tm135083,Said Khalil,Jadallah,ACTOR
557170,tm135083,Farouq ElDemerdash,,ACTOR
538017,tm135083,Ahmed Abaza,Mansour,ACTOR
557173,tm135083,Safia Sarwat,Halawethom,ACTOR
557178,tm135083,Asaad Kellada,,ACTOR
1521416,tm135083,Sherine,,ACTOR
1521414,tm135083,Soheir,,ACTOR
1321149,tm135083,Esmat Mahmoud,,ACTOR
